,rss,intercept,coef_x_2,coef_x_3,coef_x_4,coef_x_5,coef_x_6,coef_x_7,coef_x_8,coef_x_9,coef_x_10,coef_x_11,coef_x_12,coef_x_13,coef_x_14,coef_x_15,coef_x_16
alpha_1e-15,0.9567147660921355,0.22223800335638874,1.064635243219331,-0.36904788805844785,0.0008851665890242671,0.0016331314063299767,-0.00011853930401962024,-6.438743112837033e-05,-6.275532057772041e-06,1.4487393592927273e-06,7.820783368081934e-07,2.075797367484281e-07,3.981349364487857e-08,5.359966538042609e-09,1.8197266933292686e-10,-1.9544970130228712e-10,-9.23653837164472e-11
alpha_1e-10,0.9567146938751276,0.22223912180753952,1.064630867401836,-0.36904360798869396,0.0008839963634973978,0.0016329711182958135,-0.00011845287716647267,-6.438845550896668e-05,-6.276029934172581e-06,1.448559007533141e-06,7.820867927942096e-07,2.0757714468512233e-07,3.98123039710266e-08,5.359722910825036e-09,1.8212536880887442e-10,-1.954392584813298e-10,-9.236893308751355e-11
alpha_1e-08,0.9567079333036881,0.22237392023361027,1.0641629194210418,-0.3686071191180308,0.0007689847979569757,0.001616241546293322,-0.00010989622069045344,-6.447712884710101e-05,-6.324403053263892e-06,1.4306319045316375e-06,7.830121666228072e-07,2.0733523570941048e-07,3.96963463727575e-08,5.3355711516115815e-09,1.9599949994691508e-10,-1.94185424746621e-10,-9.272696328049327e-11
alpha_1e-05,0.9612961323209113,0.5042200487044451,0.6043113994165371,-0.1281103378217403,-0.03821616324100028,-0.0,0.0,0.0,0.0,7.727165772882335e-06,1.0032921326624702e-06,7.725491435299134e-08,0.0,0.0,0.0,-0.0,-6.950474881989725e-11
alpha_0.0001,1.0326279966712997,0.9030408739156127,0.1710999669841506,-0.0,-0.047780144619983235,-0.0,-0.0,0.0,0.0,9.465336383689883e-06,5.099525851302189e-07,0.0,0.0,0.0,-0.0,-0.0,-4.4043905874516304e-11
alpha_0.001,1.6788328395120362,1.2946246773703483,-0.0,-0.12608736087321606,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.4960623722553465e-08,7.526311176954919e-10,0.0,0.0,0.0
alpha_0.01,3.639071383860011,1.75937585015279,-0.5520656340761394,-0.0005623229715230904,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpha_0.1,36.948038423158366,0.03803199681666663,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
alpha_5,36.948038423158366,0.03803199681666663,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
alpha_10,36.948038423158366,0.03803199681666663,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
